timestamp,f1,f2,t1,h1,t2,h2,t3,h4,af,t4,wm,t5,h3
1593598815,1,1,22.6,66,24.9,75,25.3,68,3.69,91.71,120,40.87,114.17
1593598817,1,1,22.6,66,24.9,75,25.3,68,3.04,95.17,120,38.23,114.17
1593598819,1,1,22.6,65,24.9,75,25.3,68,2.88,88.6,120,39.26,114.17
1593598822,1,1,22.6,66,24.9,75,25.3,68,3.04,88.6,120,40.87,113.33
1593598824,1,1,22.6,66,24.9,75,25.3,68,3.22,91.71,120,39.78,113.33
1593598826,1,1,22.6,66,24.9,75,25.3,68,3.13,91.71,120,40.32,113.33
1593598828,1,1,22.6,66,24.9,75,25.3,68,3.69,91.71,120,39.26,113.33
1593598830,1,1,22.6,66,24.9,75,25.3,68,3.4,91.71,120,40.32,113.33
1593598832,1,1,22.6,66,24.9,75,25.3,68,3.4,91.71,120,40.87,113.33
1593598834,1,1,22.6,66,24.9,75,25.3,68,3.31,88.6,120,40.32,113.33
1593598837,1,1,22.6,65,24.9,75,25.3,68,3.13,91.71,120,39.26,113.33
1593598839,1,1,22.6,65,24.9,75,25.3,68,3.36,91.71,120,38.74,113.33
1593598841,1,1,22.6,65,24.9,75,25.3,68,3.45,88.6,120,40.32,113.33
1593598843,1,1,22.6,65,24.9,75,25.3,68,2.84,88.6,120,40.32,113.33
1593598845,1,1,22.6,65,24.9,75,25.3,68,3.09,91.71,120,38.23,113.33
1593598847,1,1,22.5,65,24.9,75,25.3,68,3.09,91.71,120,38.74,112.49
1593598849,1,1,22.5,65,24.9,75,25.3,68,3.09,91.71,120,39.78,112.49
1593598852,1,1,22.5,65,24.9,75,25.3,68,3.5,91.71,120,40.87,112.49
1593598854,1,1,22.6,65,24.9,75,25.3,68,3.31,91.71,120,39.26,112.49
1593598856,1,1,22.5,65,24.9,75,25.3,68,3.22,91.71,120,39.26,112.49
1593598858,1,1,22.5,65,24.9,75,25.3,68,3.09,91.71,120,38.74,112.49
1593598861,1,1,22.5,65,24.9,75,25.3,68,3.36,91.71,120,40.87,112.49
1593598863,1,1,22.5,65,24.9,75,25.3,67,3.01,91.71,120,40.87,112.49
1593598864,1,1,22.5,65,24.9,75,25.3,67,3.01,91.71,120,40.32,112.49
1593598867,1,1,22.5,65,24.9,75,25.3,67,3.27,91.71,120,40.87,112.49
1593598869,1,1,22.5,65,24.9,75,25.3,67,3.09,91.71,120,40.87,112.49
1593598871,1,1,22.4,65,24.9,75,25.3,67,3.18,91.71,120,39.78,112.49
1593598873,1,1,22.4,65,24.9,75,25.3,68,3.45,91.71,120,38.74,112.49
1593598875,1,1,22.4,65,24.9,75,25.3,68,3.36,91.71,120,39.78,112.49
1593598877,1,1,22.4,65,24.9,75,25.3,67,3.27,91.71,120,40.87,112.49
1593598879,1,1,22.4,65,24.9,75,25.3,67,2.84,91.71,120,38.74,111.64
1593598882,1,1,22.4,66,24.9,75,25.3,68,3.09,91.71,120,38.74,111.64
1593598884,1,1,22.4,66,24.9,75,25.3,68,3.36,91.71,120,38.74,111.64
1593598886,1,1,22.4,66,24.9,75,25.3,68,3.27,91.71,120,39.26,111.64
1593598888,1,1,22.4,65,24.9,75,25.3,68,3.01,91.71,120,39.26,111.64
1593598890,1,1,22.4,65,24.9,75,25.3,68,3.01,91.71,120,39.78,111.64
1593598892,1,1,22.4,65,24.9,75,25.3,68,3.09,91.71,120,40.32,111.64
1593598894,1,1,22.4,65,24.9,75,25.3,68,3.55,88.6,120,38.23,111.64
1593598897,1,1,22.4,65,24.9,75,25.3,68,3.27,91.71,120,38.23,111.64
1593598899,1,1,22.4,66,24.9,75,25.3,68,3.55,91.71,120,40.32,111.64
1593598901,1,1,22.4,66,24.9,75,25.3,68,3.64,88.6,120,38.74,111.64
1593598903,1,1,22.5,66,24.9,75,25.3,68,3.31,91.71,120,40.87,111.64
1593598905,1,1,22.5,66,24.9,75,25.3,68,3.22,91.71,120,39.78,110.8
1593598907,1,1,22.5,66,24.9,75,25.3,68,3.5,91.71,120,38.23,110.8
1593598909,1,1,22.5,66,24.9,75,25.3,68,3.4,91.71,120,40.87,110.8
1593598912,1,1,22.5,66,24.9,75,25.3,68,3.22,91.71,120,39.78,110.8
1593598914,1,1,22.5,65,24.9,75,25.3,68,3.04,91.71,120,39.26,110.8
1593598916,1,1,22.5,65,24.9,75,25.3,68,3.09,91.71,120,39.26,110.8
1593598918,1,1,22.5,65,24.9,75,25.3,68,2.96,91.71,120,39.26,110.8
1593598920,1,1,22.5,65,24.9,75,25.3,68,3.18,91.71,120,38.74,110.8
1593598922,1,1,22.5,65,24.9,75,25.3,68,3.36,91.71,120,38.74,110.8
1593598924,1,1,22.5,65,24.9,75,25.3,67,2.92,91.71,120,40.87,110.8
1593598927,1,1,22.5,65,24.9,75,25.3,67,2.96,91.71,120,38.74,110.8
1593598929,1,1,22.5,65,24.9,75,25.3,67,3.27,91.71,120,40.87,110.8
1593598931,1,1,22.5,65,24.9,75,25.3,67,3.55,91.71,120,40.87,110.8
1593598933,1,1,22.5,65,24.9,75,25.3,67,2.84,91.71,120,39.26,109.95
1593598935,1,1,22.5,65,24.9,75,25.3,68,3.18,91.71,120,39.78,109.95
1593598937,1,1,22.5,65,24.9,75,25.3,68,3.01,91.71,120,39.26,109.95
1593598939,1,1,22.4,65,24.9,75,25.3,68,2.92,91.71,120,38.74,109.95
1593598942,1,1,22.4,65,24.9,75,25.3,68,3.18,91.71,120,39.26,109.95
1593598944,1,1,22.4,65,24.9,75,25.3,68,3.27,91.71,120,40.87,109.95
1593598946,1,1,22.4,65,24.9,75,25.3,68,2.84,91.71,120,38.74,109.95
1593598948,1,1,22.4,65,24.9,75,25.3,68,3.45,91.71,120,38.74,109.95
1593598950,1,1,22.4,65,24.9,75,25.3,68,3.09,91.71,120,39.26,109.95
1593598952,1,1,22.4,65,24.9,75,25.3,68,3.27,91.71,120,40.87,109.95
1593598954,1,1,22.4,65,24.9,75,25.3,68,3.36,91.71,120,40.32,109.95
1593598957,1,1,22.4,65,24.9,75,25.3,68,2.92,91.71,120,39.78,109.11
1593598959,1,1,22.4,65,24.9,75,25.3,68,3.27,91.71,120,39.78,109.11
1593598961,1,1,22.4,66,24.9,75,25.3,68,3.36,91.71,120,38.74,109.11
1593598963,1,1,22.4,66,24.9,75,25.3,68,3.18,91.71,120,40.32,109.11
