Humidity_in,Temperature_in,Humidity_out,Temperature_out,Humidity_box,Temperature_box,Wind_Speed,Temperature_towel,Temperature_bed,Humidity_towel_raw
56,22.4,56,24.1,53,24.4,6.45,22.66,71.13,420
56,22.4,56,24.1,53,24.4,6.18,22.38,71.13,420
56,22.4,56,24.1,53,24.4,6.24,22.66,72.83,420
56,22.5,56,24.1,53,24.4,6.58,22.66,74.63,421
56,22.5,57,24.1,53,24.3,6.51,22.38,74.63,421
56,22.5,57,24.1,53,24.4,6.18,22.66,74.63,420
56,22.5,57,24,53,24.3,5.85,22.66,74.63,421
56,22.5,57,24,54,24.4,5.6,22.66,74.63,421
56,22.5,57,24,54,24.4,5.97,21.83,69.52,421
56,22.5,58,24,54,24.4,6.04,22.66,78.6,422
56,22.5,58,24,54,24.4,6.59,22.95,76.55,421
56,22.5,58,24,54,24.3,6.25,22.95,80.81,421
56,22.5,58,24,54,24.3,6.33,22.95,80.81,421
56,22.5,58,24,54,24.4,6.19,22.66,80.81,422
56,22.5,58,24,54,24.3,5.87,22.66,80.81,422
56,22.5,58,24,54,24.3,6.33,22.95,83.19,422
55,22.5,59,24,54,24.4,6.47,22.38,80.81,422
55,22.5,59,24,54,24.4,5.61,22.66,83.19,422
55,22.5,59,24,54,24.4,5.67,22.66,83.19,422
55,22.4,59,24,54,24.4,6.19,22.95,83.19,422
56,22.4,59,23.9,54,24.4,6.47,22.66,85.78,422
56,22.4,59,23.9,54,24.4,5.87,22.95,88.6,423
56,22.4,59,23.9,54,24.3,5.74,22.95,85.78,423
56,22.4,60,23.9,55,24.4,5.8,22.95,88.6,423
56,22.4,59,23.9,55,24.4,6,22.66,88.6,423
56,22.4,60,23.9,55,24.3,5.87,22.95,88.6,423
56,22.3,60,23.9,55,24.3,6,22.66,88.6,424
56,22.3,60,23.9,55,24.4,6.27,22.95,88.6,424
56,22.3,60,23.9,54,24.4,6,22.66,88.6,424
56,22.3,60,23.9,55,24.4,6.19,22.66,85.78,424
56,22.3,60,23.9,55,24.3,5.85,22.66,88.6,424
56,22.3,60,23.9,55,24.4,5.99,22.66,91.71,424
56,22.4,60,23.9,55,24.3,6.58,20.76,121.97,423
56,22.4,60,23.9,55,24.4,6.58,20.5,131.29,425
56,22.4,60,23.9,55,24.4,6.44,20.5,121.97,424
56,22.4,61,23.9,55,24.4,6.36,20.76,121.97,424
56,22.4,61,23.9,55,24.4,6.58,20.76,143.87,424
56,22.3,61,23.9,55,24.4,6.09,20.76,131.29,424
56,22.4,61,23.9,55,24.4,6.16,20.5,121.97,424
56,22.4,61,23.9,55,24.4,6.3,21.03,143.87,425
56,22.4,61,23.9,55,24.4,6.24,20.76,143.87,424
56,22.3,61,23.9,55,24.4,6.16,20.5,121.97,424
56,22.3,61,23.9,55,24.4,6.51,20.76,143.87,424
56,22.3,60,23.9,55,24.4,6.44,20.5,131.29,424
56,22.3,61,23.9,55,24.4,6.58,20.5,143.87,424
56,22.3,61,23.9,55,24.4,6.37,20.5,121.97,424
56,22.3,60,23.9,55,24.4,6.37,21.03,131.29,424
56,22.3,60,23.9,55,24.4,6.24,21.03,121.97,424
56,22.2,60,23.9,55,24.4,6.51,20.76,121.97,424
56,22.3,60,23.9,55,24.4,6.37,20.76,121.97,425
56,22.3,60,23.9,55,24.4,6.44,20.76,121.97,424
56,22.3,60,23.9,55,24.4,6.3,20.5,121.97,424
56,22.2,60,23.9,55,24.4,6.65,21.03,121.97,424
56,22.2,60,23.9,55,24.4,6.51,21.03,121.97,425
56,22.3,60,23.9,54,24.4,6.58,21.03,121.97,425
56,22.2,60,23.9,54,24.4,6.22,21.03,121.97,424
56,22.3,60,23.9,55,24.4,6.7,21.03,121.97,424
56,22.3,60,23.9,54,24.4,6.91,21.03,114.62,425
